"","ID","year","Country.Name","region","E.Government.Rank","E.Government.Index","E.Participation.Index","Online.Service.Index","Human.Capital.Index","ps_2020","Country Name","electicity","FDI","mobile","urban","GDP_per","corruption","rule_of_law","pol_stab","accountability","effectiveness","reg_qual","young_population","pop_dens","internet_users"
"1","AFG",2020,"Afghanistan","Asia",169,0.3203,0.4643,0.4118,0.3728,-1.63523588005741,"Afghanistan",NA,-1.475405,NA,-1.523115,58.25581184,-2.729808,-1.378587,-1.807697,26.026,-1.083459,508.808409485223,55.52832889,59.62739485,NA
"2","AGO",2020,"Angola ","Africa",159,0.3847,0.4524,0.4882,0.5295,0.0256048331920466,"Angola",NA,-0.9270931,NA,-1.181797,44.55951073,-0.520679,-0.9085017,-0.9631715,66.825,-0.8106282,1895.77086891313,51.41317518,26.36261169,36
"3","ALB",2020,"Albania ","Europe",59,0.7399,0.8452,0.8412,0.8001,-0.1705841,"Albania",NA,-0.5401961,NA,-0.1357432,91.00294427,0.0839363,0.2371311,-0.3582943,62.112,0.0873399,5215.27675237003,68.05956084,103.5672628,68.55039112
"4","AND",2020,"Andorra ","Europe",80,0.6881,0.5119,0.4824,0.7448,NA,"Andorra",NA,1.314374,NA,1.825594,NA,1.618512,1.339709,1.698638,87.916,1.089068,NA,NA,164.393617,NA
"5","ARE",2020,"United Arab Emirates ","Asia",21,0.8555,0.9405,0.9,0.732,-1.90612280345016,"United Arab Emirates",NA,1.114396,NA,1.325503,185.7794253,0.6264683,1.083404,0.9169419,87.048,-1.184305,NA,83.921513,139.2621797,99.14999998
"6","ARG",2020,"Argentina ","Americas",32,0.8279,0.8571,0.8471,0.91,-0.0810866609460862,"Argentina",NA,-0.1163816,NA,-0.2169417,121.1703997,0.0364368,-0.5673085,-0.4693715,92.111,0.5941538,8441.9194391094,64.19817702,16.58089261,NA
"7","ARM",2020,"Armenia ","Asia",68,0.7136,0.75,0.7,0.7872,0.0353414877660415,"Armenia",NA,0.031597,NA,-0.1242361,117.7357712,-0.5712944,0.2500479,-0.0832231,63.313,0.0446616,4267.45211938157,67.36477569,104.0826835,66.54394969
"8","ATG",2020,"Antigua and Barbuda ","Americas",98,0.6055,0.4881,0.4471,0.7518,NA,"Antigua and Barbuda",NA,0.2752807,NA,-0.149707,NA,0.9338933,0.5125659,0.4520202,24.433,0.7448558,14449.9965204973,68.8172043,222.5636364,NA
"9","AUS",2020,"Australia ","Oceania",5,0.9432,0.9643,0.9471,1,0.446428045067137,"Australia",NA,1.665165,NA,1.619163,107.6632349,0.8487522,1.816904,1.651188,86.241,1.304121,51812.1540373988,64.49451692,3.339440225,NA
"10","AUT",2020,"Austria","Europe",15,0.8914,0.9762,0.9471,0.9032,0.700238513813417,"Austria",NA,1.509674,NA,1.655057,118.6078386,0.851911,1.401355,1.810441,58.748,1.398979,48105.3646248411,66.38381959,108.0611367,87.75220479
"11","AZE",2020,"Azerbaijan ","Asia",70,0.71,0.6905,0.7059,0.7713,-0.1057167,"Azerbaijan",NA,-1.048197,NA,-0.1702325,102.0230735,-0.7252154,-0.3147717,-0.6910434,56.397,-1.545741,4214.3113363475,69.74308664,122.1129165,81.09999907
"12","BDI",2020,"Burundi ","Africa",168,0.3227,0.3333,0.3529,0.4891,-0.5973857,"Burundi",NA,-1.52695,NA,-1.259296,55.76717229,-1.411315,-1.01885,-1.316482,13.708,-1.53803,274.009523229095,52.36794311,463.0366433,5.2
"13","BEL",2020,"Belgium ","Europe",41,0.8047,0.6548,0.6588,0.9521,1.14953769639309,"Belgium",NA,1.478052,NA,1.124299,99.48320148,0.5905626,1.350718,1.36892,98.079,1.283182,44594.3781075628,63.71179632,381.6379458,90.27542981
"14","BEN",2020,"Benin ","Africa",157,0.4039,0.5476,0.5118,0.4404,0.3722177,"Benin",NA,-0.0392984,NA,-0.2638812,91.8972796,-0.4397532,-0.3722045,-0.7278787,48.415,-0.0771749,1291.04096203645,54.77695658,107.5132849,29
"15","BFA",2020,"Burkina Faso ","Africa",164,0.3558,0.5119,0.4647,0.2911,-0.521379319957678,"Burkina Faso",NA,-0.1011696,NA,-0.6695253,105.8074398,-1.551598,-0.4172661,-0.4181253,30.607,-0.1711518,830.925144621939,53.21867059,76.40086988,18
"16","BGD",2020,"Bangladesh ","Asia",119,0.5189,0.5714,0.6118,0.5731,0.438944372297826,"Bangladesh",NA,-0.9782742,NA,-0.7878783,103.3076686,-0.9173985,-0.9019138,-0.5731802,38.177,-0.7691441,1968.79222484581,68.01845508,1265.186932,12.9
"17","BGR",2020,"Bulgaria ","Europe",44,0.798,0.8929,0.7706,0.8408,0.1379959,"Bulgaria",NA,-0.2723222,NA,-0.0722199,114.3527653,0.472481,0.5189232,-0.0870779,75.686,0.2600734,9975.78000070924,63.85260299,63.87265107,67.94698094
"18","BHR",2020,"Bahrain ","Asia",38,0.8213,0.7738,0.7882,0.8439,-0.437411852859184,"Bahrain",NA,-0.0655486,NA,0.4287471,102.7678474,-0.5911913,0.6258294,0.491358,89.506,-1.457495,NA,79.06645314,2181.516667,99.70149256
"19","BHS",2020,"Bahamas ","Americas",73,0.7017,0.619,0.6765,0.7546,NA,"Bahamas, The",NA,1.137461,NA,0.4521627,NA,0.849964,0.0138412,0.0620066,83.245,0.9186843,28607.9013752136,70.65053758,39.28551449,NA
"20","BIH",2020,"Bosnia and Herzegovina ","Europe",94,0.6372,0.6071,0.5353,0.7468,0.1783049,"Bosnia and Herzegovina",NA,-0.6038762,NA,-0.9751914,106.9755448,-0.5145728,-0.2324903,-0.3060572,49.02,-0.323984,6031.55686867658,67.56175821,64.07841797,69.94634763
"21","BLR",2020,"Belarus ","Europe",40,0.8084,0.75,0.7059,0.8912,0.1350572,"Belarus",NA,-0.1682376,NA,-0.7293182,123.8616142,-0.7303549,-0.649549,-0.9959167,79.483,-1.458824,6411.2278131981,67.17944767,46.21121293,82.78915209
